StudyID,Species,Taxon.group,Endo.Ecto,linear.coefs,linear.coefs.se,elevation,abs.Lat,Genus,family,order,class
144,Carpodacus mexicanus,V,Endo,-0.07,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
67,Ovis aries,V,Endo,-0.07,0.183,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
112,Zosterops lateralis chlorocephalus,V,Endo,-0.07,0.09,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.064015778,0.34653102,232,43.6667,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.062,0.051,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.062,0.043,-2,53.2833,Parus,Paridae,Passeriformes,Ave
75,Salmo salar,V,Ecto,-0.06,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
158,Parus major,V,Endo,-0.06,0.056,10,51.641,Parus,Paridae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,-0.06,0.06,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,-0.06,0.07,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.059088467,0.55765381,29,42.5667,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.059,0.064,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.059,0.037,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.055,0.082,10,51.641,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.054535617,0.7900313,29,42.5667,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.052506671,0.16025482,232,43.6667,Parus,Paridae,Passeriformes,Ave
73,Lacerta agilis,V,Ecto,-0.052,0.831,5,57.3947,Lacerta,Laceratidae,Squamata,Reptilia
67,Ovis aries,V,Endo,-0.052,0.054,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,-0.052,0.06,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.052,0.038,39,52.0833,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,-0.051454,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
67,Ovis aries,V,Endo,-0.051,0.061,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
11,Calopteryx splendens,I,Ecto,-0.050664,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
61,Negaprion brevirostris,V,Ecto,-0.0502072,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
51,Poecilia reticulata,V,Ecto,-0.05,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
67,Ovis aries,V,Endo,-0.05,0.035,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
112,Zosterops lateralis chlorocephalus,V,Endo,-0.05,0.06,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,-0.05,0.08,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
158,Parus major,V,Endo,-0.049,0.032,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.048,0.036,39,52.0833,Parus,Paridae,Passeriformes,Ave
61,Negaprion brevirostris,V,Ecto,-0.047,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
119,Aquarius remigis,I,Ecto,-0.046,NA,31,45.5167,Aquarius,Gerridae,Hemiptera,Insecta
158,Parus major,V,Endo,-0.046,0.032,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.044,0.032,-2,53.2833,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.04376235,0.22937654,593,42.55,Parus,Paridae,Passeriformes,Ave
